# time,clean_signal,noisy_signal
0.000,0.000,-0.078
0.010,0.010,0.036
0.020,0.020,-0.035
0.030,0.030,-0.009
0.040,0.040,0.253
0.050,0.050,0.154
0.060,0.060,0.206
0.070,0.070,0.079
0.080,0.080,-0.072
0.090,0.090,0.035
0.100,0.100,0.257
0.110,0.110,0.171
0.120,0.120,0.200
0.130,0.130,0.227
0.140,0.140,0.038
0.150,0.150,0.015
0.160,0.159,0.304
0.170,0.169,0.277
0.180,0.179,0.265
0.190,0.189,0.101
0.200,0.199,0.345
0.210,0.209,0.286
0.220,0.218,0.204
0.230,0.228,0.047
0.240,0.238,0.184
0.250,0.248,0.165
0.260,0.257,0.108
0.270,0.267,0.104
0.280,0.277,0.158
0.290,0.286,0.271
0.300,0.296,0.474
0.310,0.305,0.297
0.320,0.315,0.254
0.330,0.324,0.210
0.340,0.334,0.374
0.350,0.343,0.373
0.360,0.353,0.338
0.370,0.362,0.520
0.380,0.371,0.511
0.390,0.381,0.343
0.400,0.390,0.396
0.410,0.399,0.326
0.420,0.408,0.410
0.430,0.417,0.490
0.440,0.426,0.268
0.450,0.435,0.493
0.460,0.444,0.613
0.470,0.453,0.532
0.480,0.462,0.428
0.490,0.471,0.440
0.501,0.480,0.539
0.511,0.489,0.426
0.521,0.497,0.504
0.531,0.506,0.489
0.541,0.515,0.544
0.551,0.523,0.376
0.561,0.532,0.649
0.571,0.540,0.424
0.581,0.549,0.695
0.591,0.557,0.805
0.601,0.565,0.560
0.611,0.573,0.660
0.621,0.582,0.533
0.631,0.590,0.727
0.641,0.598,0.571
0.651,0.606,0.709
0.661,0.614,0.514
0.671,0.622,0.653
0.681,0.629,0.665
0.691,0.637,0.793
0.701,0.645,0.578
0.711,0.652,0.551
0.721,0.660,0.488
0.731,0.667,0.740
0.741,0.675,0.787
0.751,0.682,0.815
0.761,0.689,0.796
0.771,0.697,0.787
0.781,0.704,0.764
0.791,0.711,0.697
0.801,0.718,0.682
0.811,0.725,0.740
0.821,0.732,0.698
0.831,0.738,0.862
